Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2016,NSJ_001,5/28/2016,18:53,37 MI,64.84563,-166.08302,JAG,Initial Discovery,laying,Y,,,1AU,FEDG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/6/2016,16:00,37 MI,64.84563,-166.08302,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/8/2016,20:00,37 MI,64.84563,-166.08302,JAJ,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/19/2016,12:00,37 MI,64.84563,-166.08302,JAJ,4,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/21/2016,,37 MI,64.84563,-166.08302,CWW,5,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/22/2016,,37 MI,64.84563,-166.08302,JVG,Fate Determined,abandoned,Y,,,,,,,,intact,,,,,,,,,4 cold eggs|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/5/2016,17:33,37 MI,64.85152,-166.09987,SGB,Initial Discovery,incubation,Y,,,1EV,FEDG,2LM,FEDG,,,,,,,,,,,|43.2|30.4|15|Y|5||46.2|30.5|5|Y|5||46.6|30|||||42.4|30.9|||||||70-85% complete on 14/6||||||||||||||||||||||||||||||||||
2016,SGB_001,6/14/2016,11:30,37 MI,64.85152,-166.09987,JAJ,2,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/23/2016,14:00,37 MI,64.85152,-166.09987,JVG,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/24/2016,20:30,37 MI,64.85152,-166.09987,LHD,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
